Country/Area,Year,Unit, Final consumption expenditure , Household consumption expenditure (including Non-profit institutions serving households) , General government final consumption expenditure , Gross capital formation , Gross fixed capital formation (including Acquisitions less disposals of valuables) , Changes in inventories ,Exports of goods and services,Imports of goods and services,Gross Domestic Product (GDP)
Afghanistan,2022,US$,17780988298.98,14069591331.46,3371397366.07,3344197348.24,3344197348.24, ... ,2642071147.19,7713037498.54,16048981788.93
Africa,2022,US$,2441719599960.52,2062156743364.49,382009331908.92,655577455461.15,595652330161.42,46962561440.50,622510796450.02,811289611173.06,2875884251402.01
Albania,2022,US$,12552122754.84,11082178261.53,1473667071.43,3753339297.36,3753339046.52, ... ,4929033905.94,7340416340.00,14319829482.23
Algeria,2022,US$,117185096741.43,77020911651.77,40089538332.08,91315678600.46,75871683953.72,15591148961.45,35750098080.73,38149487432.01,179427868610.13
Americas,2022,US$,23775471092795.60,19641979072758.90,4157689799111.92,6246838162292.27,6093736210065.46,130837686861.30,4357908415153.07,5699808190644.49,28714113491430.80
Andorra,2022,US$,2450183280.47,1804629180.31,645554100.20,680834023.99,636319220.08,44514804.52,1295470225.47,1257068853.19,3169418676.97
Angola,2022,US$,78699243556.52,63654102920.81,15045140635.71,25288049171.17,25288238082.82,958785588.60,28815056927.69,25174790950.03,108990092153.99
Anguilla,2022,US$,338901332.93,282418933.62,56482399.32,95277524.30,95277524.30, ... ,264548797.66,359732137.02,338995314.68
Antigua and Barbuda,2022,US$,1208892901.36,1007870444.62,210942765.90,600523055.68,600523055.68, ... ,549476067.76,777187517.45,1554182042.38
Argentina,2022,US$,544995820100.84,428435622084.32,116150071049.35,115805342637.38,109739827173.16,-4799010974.21,78088965049.63,84836983174.64,648767263626.70
Armenia,2022,US$,11828028643.88,10252191270.39,1580726336.11,3312410466.49,3085333761.71,4665564637.75,6711629629.61,7721975962.59,14238626094.56
Aruba,2022,US$,2206475651.18,1530685119.42,663812523.25,648840006.33,605950928.76, ... ,3048953087.36,2607970695.03,3458627345.10
Asia,2022,US$,22408937518071.30,16809801751049.40,5633872579503.37,12148550677254.70,11701066487147.10,-202530680394.18,10535368576488.50,9452158986257.68,35357379638662.60
Australia,2022,US$,1163853346890.08,811028943302.63,352471628010.08,366689163624.47,361646567776.43,5569548240.03,260561046009.59,321133030663.38,1465797428418.88
Australia and New Zealand,2022,US$,1341499523089.52,943196807766.86,397650244357.76,421572306208.11,415651720579.27,5133445473.16,308097709279.03,379861637245.76,1686770197610.68
Austria,2022,US$,298336024421.42,213269371437.25,85102697654.47,108778500711.03,106047631154.57,2399883977.08,260123716369.51,245937410300.17,422065288750.94
Azerbaijan,2022,US$,41392004645.15,33805476710.12,7560580377.82,10729101382.82,10695197643.00,33925925.85,22680970748.34,17903546281.84,56596740227.46
Bahamas,2022,US$,9882027596.42,7893280870.16,2014904037.27,2364114501.91,2212073983.25,154779653.21,4197767595.66,3834558306.11,12456174966.77
