"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","Mean weekly hours usually worked per employed person by sex","Sex: Total","2021",43.15,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Mean weekly hours usually worked per employed person by sex","Sex: Male","2021",45.71,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Mean weekly hours usually worked per employed person by sex","Sex: Female","2021",27.27,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employed person by sex","Sex: Total","2021",43.83,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employed person by sex","Sex: Male","2021",45.22,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employed person by sex","Sex: Female","2021",42.49,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employed person by sex","Sex: Total","2019",44.58,"Break in series","Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employed person by sex","Sex: Male","2019",46.29,"Break in series","Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours usually worked per employed person by sex","Sex: Female","2019",42.89,"Break in series","Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employed person by sex","Sex: Total","2019",42.32,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employed person by sex","Sex: Male","2019",44,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employed person by sex","Sex: Female","2019",40.22,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employed person by sex","Sex: Total","2018",42.06,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employed person by sex","Sex: Male","2018",43.87,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employed person by sex","Sex: Female","2018",39.76,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employed person by sex","Sex: Total","2017",41.57,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employed person by sex","Sex: Male","2017",43.32,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours usually worked per employed person by sex","Sex: Female","2017",39.29,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
