,gdp_USD,gdp_per_capita,gdp_per_hour
0,16048981789,372.62,0.45
1,14319829482,5155.29,2.69
2,1.09E+11,2385.12,2.59
3,6.49E+11,12940.74,15.04
4,14238626095,5116.21,2.77
5,4.22E+11,46697.86,32.86
6,12456174967,29477.24,20.89
7,3.65E+11,1785.36,1.17
8,57270177382,6206.65,3.93
9,5.16E+11,44198.2,30.62
10,2509307581,6191.66,4.34
11,16753221226,1255.61,1.03
12,2588733771,3336.38,1.93
13,38319728286,3134.77,2.16
14,20253847565,7569,3.22
15,17510051388,6641.57,4.57
16,1.9E+12,8822.05,5.44
17,13000439529,28954.06,15.08
18,61691793244,9550.94,5.22
19,16534846693,736,0.56
20,3490124044,262.18,0.22
21,2159882068,3551.25,2.18
22,24971817549,1488.81,0.82
23,1.75E+12,45227.14,30.12
24,2.82E+11,14235.36,8.03
25,3.55E+11,6836.23,3.71
26,1239912861,1362.78,1.2
27,10244291189,1704.27,0.11
28,306285448.5,17033,13.75
29,69286276848,13424.46,7.33
30,63412566373,16712.04,9.22
31,27893343345,30556.72,18.91
32,2.16E+11,20237.29,12.69
33,68385681247,2399.7,1.65
34,3.56E+11,60345.56,42.46
35,98037480685,8732.08,5.65
36,1.01E+11,6087.54,3.47
37,4.61E+11,4088.9,2.74
38,27096718971,4310.91,2.38
39,28507450259,21141,13.73
40,4748702401,4012.94,2.51
41,1.02E+11,857.35,0.79
42,2.61E+11,46655.17,32.31
43,2.64E+12,38816.48,26.69
44,1863264133,688.65,0.54
45,20138737945,5736.3,2.98
46,3.63E+12,43361.18,29.07
47,68868093363,2046.01,1.72
48,2.11E+11,20287.73,11.95
49,1062933420,8766.93,7.01
50,1438506384,736.93,0.58
51,14268000638,17646.22,10.93
52,13828677969,1247.89,0.71
53,25953927711,2489.6,1.64
54,1.58E+11,16345.31,9.8
55,21556161805,57816.36,40.84
56,3.02E+12,2098.22,1.16
57,1.12E+12,4073.56,2.49
58,4.98E+11,5507.53,3.4
59,1.93E+11,4357.87,4.5
60,4.99E+11,97316.88,67.73
61,4.08E+11,42710.78,30.35
62,1.96E+12,33364.11,21.2
63,14674810247,5236.79,3.24
64,43119748442,3891.21,2.18
65,94828625235,1754.59,1.32
66,187463900.3,1942.7,1.29
67,8321652605,4666.42,2.69
68,8243822708,1212.23,0.85
69,20584824411,2599.2,1.68
70,32089476433,17014.62,10.26
71,31159577235,6183.24,3.41
72,2192029636,952.25,0.61
73,2877686353,646.5,0.48
74,52463546654,18535.08,11.01
75,71626335175,109714.92,73.08
76,13439518394,453.86,0.43
77,11487104910,554.2,0.67
78,5780294559,11035.58,7.22
79,19313579255,747.15,0.7
80,16128492721,30760.64,20.73
81,224606400,5313.44,3.78
82,7955450863,1616.98,1.38
83,13311198474,10570.43,6.15
84,1.29E+12,10078.6,5.5
85,314218068,2923.22,2.28
86,14441963153,4249.68,2.67
87,4867384311,7889.24,4.25
88,80971745.26,16461,10.37
89,19464182762,590.37,0.6
90,78243496114,1165.61,0.89
91,11187391527,4394.4,2.93
92,113944938.1,7861.68,7.97
93,32142056495,1083.22,0.68
94,8.94E+11,50546.79,39.4
95,8674478061,33190,21.31
96,14728776397,2119.4,1.44
97,14338070810,547.42,0.58
98,5.37E+11,2449.59,2.44
99,33024926,19646,14.71
100,11385896527,6217.95,3.61
101,4.35E+11,79434.63,56.23
102,15612500000,3099.96,2.19
103,4.02E+11,1696.96,1.26
104,210380701.9,12426.98,6.98
105,70310336412,15388.06,9.7
106,41995687742,6199.6,3.53
107,2.23E+11,6549.33,3.83
108,4.08E+11,3528.33,2.43
109,6.3E+11,17178.67,10.6
110,2.3E+11,22125.94,13.23
111,1.74E+12,33690.38,19.63
112,9004000404,3581.72,2.02
113,2.32E+11,12131.74,7
114,1.47E+12,10030.04,5.95
115,12933613305,939.73,1.03
116,1899495716,10988.97,5.9
117,798400813.9,3591.8,2.67
118,25302260864,1460.49,0.88
119,49711066842,7493.16,4.04
120,1869028599,16188.78,11.56
121,5405520319,626.9,0.46
122,1.02E+11,18898.04,11.79
123,53516808295,25349.76,15.6
124,1371062279,2084.35,1.3
125,9318808690,509.08,1.47
126,3.6E+11,6022.43,3.71
127,1.32E+12,27702.75,17.83
128,88459606159,4035.65,2.23
129,87366859636,1025.32,1.33
130,5.87E+11,55894.16,38.51
131,7.9E+11,90057.04,57.69
132,13506343006,1356.32,1.15
133,72996133738,1057.74,0.8
134,4.5E+11,6275.93,3.34
