Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,126.2,143.2
Albania,ALB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,116.9,131.2
Algeria,DZA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,122.3,203.1
American Samoa,ASM,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,173.8,214.1
Andorra,AND,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,109.4,116.4
Angola,AGO,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,150,220.4
Antigua and Barbuda,ATG,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,97,109.6
Argentina,ARG,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,116.6,135.7
Armenia,ARM,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,139.8,145.5
Aruba,ABW,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,156.6,104
Australia,AUS,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,172,208.4
Austria,AUT,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,124.9,129.6
Azerbaijan,AZE,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,143.5,224.5
"Bahamas, The",BHS,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,130.8,165
Bahrain,BHR,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,135.6,160.5
Bangladesh,BGD,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,103.1,106.5
Barbados,BRB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,116.2,124.6
Belarus,BLR,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,119.2,132.7
Belgium,BEL,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,122.9,134.1
Belize,BLZ,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,98.9,116
Benin,BEN,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,129.9,152.7
Bermuda,BMU,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,135.7,145
Bhutan,BTN,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,163.5,245.9
Bolivia,BOL,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,121.2,141.2
Bosnia and Herzegovina,BIH,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,125.6,147.2
