ref_area.label,source.label,indicator.label,sex.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Afghanistan,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2021,41.86,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2021,42.71,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2021,28.05,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2020,52.91,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2020,55.13,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2020,30.6,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,HIES - Households Living Conditions Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2017,46.54,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,HIES - Households Living Conditions Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2017,48.07,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,HIES - Households Living Conditions Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2017,32.73,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,HIES - Households Living Conditions Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2014,42.87,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,HIES - Households Living Conditions Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2014,43.79,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,HIES - Households Living Conditions Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2014,32.25,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2021,46.81,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2021,48.92,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2021,41.58,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2019,46.77,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2019,49.35,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2019,40.76,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2019,43.36,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2019,44.3,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2019,42.26,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2018,43.45,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2018,44.29,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2018,42.45,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2017,43.19,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2017,43.95,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2017,42.28,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2016,42.85,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2016,43.57,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2016,42,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2015,42.43,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2015,43.38,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2015,41.23,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2014,42.13,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2014,42.96,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2014,41.02,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2013,43.28,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2013,44.43,,,Repository: ILO-STATISTICS - Micro data processing
Albania,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2013,41.63,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2023,48.73,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2023,48.61,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2023,49.1,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Total,2022,51.14,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Male,2022,51.19,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,LFS - Labour Force Survey,Mean weekly hours actually worked per employee by sex,Sex: Female,2022,50.97,,,Repository: ILO-STATISTICS - Micro data processing
